"submission_id","QUD","RT","age","condition","experiment_id","gender","optionLeft","optionRight","question","response","startDate","startTime","trial_name","trial_number","invalid_U1","invalid_U2","invalid_both"
2776,NA,NA,50,2,258,"female",NA,NA,"Please select the topic you care about the most","Buying and wearing fur","Sun Aug 22 2021 22:10:47 GMT+0200 (Mitteleuropäische Sommerzeit)",1629663047547,"choice_of_political_topic",1,FALSE,FALSE,FALSE
2776,NA,NA,50,2,258,"female",NA,NA,"Buying and wearing fur is wrong","5","Sun Aug 22 2021 22:10:47 GMT+0200 (Mitteleuropäische Sommerzeit)",1629663047547,"rate_statement",1,FALSE,FALSE,FALSE
2776,NA,NA,50,2,258,"female",NA,NA,"Call the police or do nothing ?","5","Sun Aug 22 2021 22:10:47 GMT+0200 (Mitteleuropäische Sommerzeit)",1629663047547,"experimental_trial",1,FALSE,FALSE,FALSE
2776,NA,19135,50,2,258,"female","very bad","very good","How did you feel about your choice ?","3","Sun Aug 22 2021 22:10:47 GMT+0200 (Mitteleuropäische Sommerzeit)",1629663047547,"fit_backstory_fake_rating",1,FALSE,FALSE,FALSE
2776,NA,NA,50,2,258,"female",NA,NA,"Which of the following is true about the previous study?","correct","Sun Aug 22 2021 22:10:47 GMT+0200 (Mitteleuropäische Sommerzeit)",1629663047547,"understanding_check",1,FALSE,FALSE,FALSE
2776,NA,NA,50,2,258,"female",NA,NA,"Please rate how much you agree or disagree with the following statements:","1","Sun Aug 22 2021 22:10:47 GMT+0200 (Mitteleuropäische Sommerzeit)",1629663047547,"identity_check_Pro",1,FALSE,FALSE,FALSE
2776,NA,NA,50,2,258,"female",NA,NA,"Please rate how much you agree or disagree with the following statements:","7","Sun Aug 22 2021 22:10:47 GMT+0200 (Mitteleuropäische Sommerzeit)",1629663047547,"identity_check_Anti",1,FALSE,FALSE,FALSE
2776,NA,17639,50,2,258,"female",NA,NA,"Which of the following statements is true?","correct","Sun Aug 22 2021 22:10:47 GMT+0200 (Mitteleuropäische Sommerzeit)",1629663047547,"understanding_check2",1,FALSE,FALSE,FALSE
2776,NA,25258,50,2,258,"female","not at all","very strongly","Please rate how much you agree with the following statement: <br />","5","Sun Aug 22 2021 22:10:47 GMT+0200 (Mitteleuropäische Sommerzeit)",1629663047547,"sympathy_rating",1,FALSE,FALSE,FALSE
2775,NA,NA,55,2,258,"male",NA,NA,"Please select the topic you care about the most","Refugees","Sun Aug 22 2021 22:02:22 GMT+0200 (Mitteleuropäische Sommerzeit)",1629662542383,"choice_of_political_topic",1,FALSE,FALSE,FALSE
