submission_id,QUD,RT,age,city,comments,condition,country,education,experiment_id,gender,optionLeft,optionRight,question,response,startDate,startTime,trial_name,trial_number
2399,NA,NA,21,Osnabrück,"The different questions have not appeared to me as if they relate to each other. In other words: I did not quite get the purpose of this study.
I would somehow improve the communication with the participant about goals of the survey, maybe after completion. It felt kind of incoherent, but I might have overlooked some instructions.
You might improve your ""agreement"" scale by adding a label to the central element. This might facilitate answering the questions.
Good luck with the editing and have fun collecting more data 🥸",1,Germany,Graduated High School,258,male,NA,NA,Please select the topic you care about the most,Refugees,Fri Jul 30 2021 22:01:48 GMT+0200 (Mitteleuropäische Sommerzeit),1627675308629,choice_of_political_topic,1
2399,NA,NA,21,Osnabrück,"The different questions have not appeared to me as if they relate to each other. In other words: I did not quite get the purpose of this study.
I would somehow improve the communication with the participant about goals of the survey, maybe after completion. It felt kind of incoherent, but I might have overlooked some instructions.
You might improve your ""agreement"" scale by adding a label to the central element. This might facilitate answering the questions.
Good luck with the editing and have fun collecting more data 🥸",1,Germany,Graduated High School,258,male,NA,NA,Germany should open its borders for all refugees,-2,Fri Jul 30 2021 22:01:48 GMT+0200 (Mitteleuropäische Sommerzeit),1627675308629,rate_statement,1
2399,NA,NA,21,Osnabrück,"The different questions have not appeared to me as if they relate to each other. In other words: I did not quite get the purpose of this study.
I would somehow improve the communication with the participant about goals of the survey, maybe after completion. It felt kind of incoherent, but I might have overlooked some instructions.
You might improve your ""agreement"" scale by adding a label to the central element. This might facilitate answering the questions.
Good luck with the editing and have fun collecting more data 🥸",1,Germany,Graduated High School,258,male,NA,NA,Call the police or do nothing ?,4,Fri Jul 30 2021 22:01:48 GMT+0200 (Mitteleuropäische Sommerzeit),1627675308629,experimental_trial,1
2399,,13495,21,Osnabrück,"The different questions have not appeared to me as if they relate to each other. In other words: I did not quite get the purpose of this study.
I would somehow improve the communication with the participant about goals of the survey, maybe after completion. It felt kind of incoherent, but I might have overlooked some instructions.
You might improve your ""agreement"" scale by adding a label to the central element. This might facilitate answering the questions.
Good luck with the editing and have fun collecting more data 🥸",1,Germany,Graduated High School,258,male,very bad,very good,How did you feel about your choice ?,3,Fri Jul 30 2021 22:01:48 GMT+0200 (Mitteleuropäische Sommerzeit),1627675308629,fit_backstory_fake_rating,1
2399,NA,NA,21,Osnabrück,"The different questions have not appeared to me as if they relate to each other. In other words: I did not quite get the purpose of this study.
I would somehow improve the communication with the participant about goals of the survey, maybe after completion. It felt kind of incoherent, but I might have overlooked some instructions.
You might improve your ""agreement"" scale by adding a label to the central element. This might facilitate answering the questions.
Good luck with the editing and have fun collecting more data 🥸",1,Germany,Graduated High School,258,male,NA,NA,Which of the following is true about the previous study?,correct,Fri Jul 30 2021 22:01:48 GMT+0200 (Mitteleuropäische Sommerzeit),1627675308629,understanding_check,1
2399,NA,NA,21,Osnabrück,"The different questions have not appeared to me as if they relate to each other. In other words: I did not quite get the purpose of this study.
I would somehow improve the communication with the participant about goals of the survey, maybe after completion. It felt kind of incoherent, but I might have overlooked some instructions.
You might improve your ""agreement"" scale by adding a label to the central element. This might facilitate answering the questions.
Good luck with the editing and have fun collecting more data 🥸",1,Germany,Graduated High School,258,male,NA,NA,Please rate how much you agree or disagree with the following statements:,5,Fri Jul 30 2021 22:01:48 GMT+0200 (Mitteleuropäische Sommerzeit),1627675308629,identity_check_Pro ,1
2399,NA,NA,21,Osnabrück,"The different questions have not appeared to me as if they relate to each other. In other words: I did not quite get the purpose of this study.
I would somehow improve the communication with the participant about goals of the survey, maybe after completion. It felt kind of incoherent, but I might have overlooked some instructions.
You might improve your ""agreement"" scale by adding a label to the central element. This might facilitate answering the questions.
Good luck with the editing and have fun collecting more data 🥸",1,Germany,Graduated High School,258,male,NA,NA,Please rate how much you agree or disagree with the following statements:,2,Fri Jul 30 2021 22:01:48 GMT+0200 (Mitteleuropäische Sommerzeit),1627675308629,identity_check_Anti ,1
2399,,18474,21,Osnabrück,"The different questions have not appeared to me as if they relate to each other. In other words: I did not quite get the purpose of this study.
I would somehow improve the communication with the participant about goals of the survey, maybe after completion. It felt kind of incoherent, but I might have overlooked some instructions.
You might improve your ""agreement"" scale by adding a label to the central element. This might facilitate answering the questions.
Good luck with the editing and have fun collecting more data 🥸",1,Germany,Graduated High School,258,male,NA,NA,Which of the following statements is true?,correct,Fri Jul 30 2021 22:01:48 GMT+0200 (Mitteleuropäische Sommerzeit),1627675308629,understanding_check2,1
2399,,27730,21,Osnabrück,"The different questions have not appeared to me as if they relate to each other. In other words: I did not quite get the purpose of this study.
I would somehow improve the communication with the participant about goals of the survey, maybe after completion. It felt kind of incoherent, but I might have overlooked some instructions.
You might improve your ""agreement"" scale by adding a label to the central element. This might facilitate answering the questions.
Good luck with the editing and have fun collecting more data 🥸",1,Germany,Graduated High School,258,male,not at all,very strongly,Please rate how much you agree with the following statement: <br />,5,Fri Jul 30 2021 22:01:48 GMT+0200 (Mitteleuropäische Sommerzeit),1627675308629,sympathy_rating,1
2397,NA,NA,22,Osnabrück,,3,DE,Graduated High School,258,female,NA,NA,Please select the topic you care about the most,Transgender rights,Fri Jul 30 2021 22:01:18 GMT+0200 (Mitteleuropäische Sommerzeit),1627675278515,choice_of_political_topic,1
